ID,CODSEC,DIR,ZHFG,TIPORESLZHF,ESTRATO,LOCALIDAD,UPZ,LONG,LAT,CONDJUR,AT,VALTER,VALTOTER,USO,SISTCON,PUNTAJE,EDAD,AC,AREATC,VALORC,VRTOTAL,AVALUO,INTEGRAL,ACTECOIM,TIPOAEI
71,002307092900000000,KR 27 38A 25S,6232315151122,3,3,18,,,,2,1056.10,180000,190098000,022,A,28,68,67.10,470.60,140000,9394000,251170000,533723,2,2
72,004535122800000000,KR 80 A 56 42 S,6030215153113,3,2,8,81,-74.17595533,4.61403461,2,440.00,180000,79200000,001,A,37,9,98.00,492.00,180000,17640000,234740000,477114,1,3
72,004535122800000000,KR 80 A 56 42 S,6030215153113,3,2,8,,,,2,440.00,180000,79200000,025,A,70,9,394.00,492.00,350000,137900000,234740000,477114,1,3
73,002307204600000000,KR 27 39 41 SUR,6232315151122,3,3,18,,,,2,459.30,200000,91860000,033,A,44,20,125.20,1091.60,200000,25040000,261860000,239886,2,2
73,002307204600000000,KR 27 39 41 SUR,6232315151122,3,3,18,,,,2,459.30,200000,91860000,022,A,41,20,840.30,1091.60,150000,126045000,260599000,238731,2,2
73,002307204600000000,KR 27 39 41 SUR,6232315151122,3,3,18,,,,2,459.30,200000,91860000,001,A,29,20,126.10,1091.60,150000,18915000,260599000,238731,2,2
74,002307462300000000,AK 33 41 66 SUR,6232315151121,3,3,18,,,,2,204.70,220000,45034000,025,A,52,30,202.50,290.10,250000,50625000,107047000,369000,2,1
74,002307462300000000,AK 33 41 66 SUR,62323151511121,3,3,18,,,,2,204.70,220000,45034000,080,A,41,30,87.60,290.10,130000,11388000,107047000,369000,2,1
75,002307530200000000,CL 42S 26 20,6232315151122,3,3,18,,,,2,404.40,300000,121320000,033,A,36,12,100.80,420.40,170000,17136000,175691000,417914,2,2
75,002307530200000000,CL 42S 26 20,6232315151122,3,3,18,,,,2,404.40,300000,121320000,001,A,37,12,90.20,420.40,170000,15334000,175466000,417379,2,2
75,002307530200000000,CL 42S 26 20,6232315151122,3,3,18,,,,2,404.40,300000,121320000,001,A,23,47,84.10,420.40,130000,10933000,175466000,417379,2,2
75,002307530200000000,CL 42S 26 20,6232315151122,3,3,18,,,,2,404.40,300000,121320000,004,A,28,47,22.50,420.40,160000,3600000,175466000,417379,2,2
75,002307530200000000,CL 42S 26 20,6232315151122,3,3,18,,,,2,404.40,300000,121320000,070,A,16,12,122.80,420.40,60000,7368000,175466000,417379,2,2
76,002307590700000000,CL 37 SUR 24A 18,6232315151113,3,3,18,,,,2,244.30,200000,48860000,033,A,49,75,212.70,212.70,220000,46794000,95654000,449713,1,3
77,002308121100000000,KR 31 43 10 S,6232215153113,3,3,18,,,,2,524.00,190000,99560000,025,A,64,51,266.00,378.80,250000,66500000,181636000,479504,1,3
77,002308121100000000,KR 31 43 10 S,6232215153113,3,3,18,,,,2,524.00,190000,99560000,001,A,28,51,24.00,378.80,130000,3120000,183520000,484477,1,3
77,002308121100000000,KR 31 43 10 S,6232215153113,3,3,18,,,,2,524.00,190000,99560000,022,A,14,51,70.80,378.80,120000,8496000,183520000,484477,1,3
